Song, Artist, Last Week, Peak Position, Weeks on Chart
"In The Zone","Britney Spears",-,1,1
"
Beg For Mercy
","
G Unit
",3,2,2
"
Blink-182
","
Blink-182
",-,-,-
"
The Black Album
","
JAY-Z
",1,1,2
"
Let It Be... Naked
","
The Beatles
",-,-,-
"
Closer
","
Josh Groban
",4,4,2
"
Tupac: Resurrection
","
Soundtrack
",2,2,2
"
Now 14
","
Various Artists
",6,3,3
"
Shock'n Y'All
","
Toby Keith
",5,1,3
"
Speakerboxxx/The Love Below
","
OutKast
",11,1,9
"
Afterglow
","
Sarah McLachlan
",7,2,3
"
The Very Best Of Sheryl Crow
","
Sheryl Crow
",10,4,3
"
Number Ones
","
Michael Jackson
",-,-,-
"
The Central Park Concert
","
Dave Matthews Band
",-,-,-
"
Measure Of A Man
","
Clay Aiken
",13,1,6
"
Greatest Hits Volume II And Some Other Stuff
","
Alan Jackson
",20,1,15
"
As Time Goes By ... The Great American Songbook Vol. II
","
Rod Stewart
",12,2,5
"
Metamorphosis
","
Hilary Duff
",16,1,13
"
Take A Look In The Mirror
","
Korn
",-,-,-
"
Kid Rock
","
Kid Rock
",8,8,2
"
Greatest Hits
","
Red Hot Chili Peppers
",-,-,-
"
Hot & Wet
","
112
",-,-,-
"
Live In Texas
","
Linkin Park
",-,-,-
"
 Greatest Hits
","
LeAnn Rimes
",-,-,-
"
Room To Breathe
","
Reba McEntire
",-,-,-
"
Try This
","
P!nk
",9,9,2
"
Jackpot
","
Chingy
",22,2,19
"
Chicken*N*Beer
","
Ludacris
",17,1,7
"
Life For Rent
","
Dido
",18,4,8
"
Harry For The Holidays
","
Harry Connick, Jr.
",30,30,4
"
NOW That's What I Call Christmas! 2: The Signature Collection
","
Various Artists
",31,31,5
"
The Long Road
","
Nickelback
",25,6,9
"
Away From The Sun
","
3 Doors Down
",24,8,54
"
The Very Best Of The Eagles
","
Eagles
",23,3,5
"
Come Away With Me
","
Norah Jones
",35,1,91
"
Fallen
","
Evanescence
",37,3,38
"
Dangerously In Love
 ","
Beyonce
",27,1,22
"
At Last
","
Cyndi Lauper
",-,-,-
"
Meteora
","
Linkin Park
",36,1,35
"
Tales Of A Librarian: A Tori Amos Collection
","
Tori Amos
",-,-,-
"
Motown
","
Michael McDonald
",28,28,18
"
Martina
","
Martina McBride
",48,7,8
"
Sacred Love
","
Sting
",38,3,8
"
The Essential Bruce Springsteen
","
Bruce Springsteen
",14,14,2
"
American Idol: The Great Holiday Classics
","
Various Artists
",75,45,6
"
Blood In My Eye
","
Ja Rule
",19,6,3
"
Results May Vary
","
Limp Bizkit
",34,3,9
"
All I Want For Christmas Is A Real Good Tan
","
Kenny Chesney
",63,48,7
"
Coldplay Live 2003
","
Coldplay
",32,13,3
"
Under Construction Part II
","
Timbaland & Magoo
",-,-,-
"
Hard
","
Jagged Edge
",33,3,6
"
Another 700 Miles (EP)
","
3 Doors Down
 ",21,21,2
"
I Can't Stop
","
Al Green
",-,-,-
"
The R. In R&B Collection: Volume One
","
R. Kelly
",39,4,9
"
Love Actually
","
Soundtrack
",56,55,2
"
Heavier Things
","
John Mayer
",41,1,11
"
Payable On Death
","
P.O.D.
",29,9,3
"
One Wish: The Holiday Album
","
Whitney Houston
",-,-,-
"
A Rush Of Blood To The Head
","
Coldplay
",60,5,65
"
Elvis: 2nd To None
","
Elvis Presley
",58,3,7
"
Kings Of Crunk
","
Lil Jon & The East Side Boyz
",40,14,56
"
Unleashed
 ","
Toby Keith
",50,1,70
"
Red Dirt Road
","
Brooks & Dunn
",110,4,19
